text,language
De pas geplante bomen werden ondersteund door houten frames in de hoop dat ze de volgende storm zouden overleven,Nederlands
De norse oude man zat achterin de aaswinkel te mopperen terwijl hij een handvol wormen schepte,Nederlands
Alles wat ze konden zien was het blauwe water rondom hun zeilboot,Nederlands
Het spoedzorgcentrum was overspoeld met patiënten na het nieuws over een nieuwe dodelijke virus werd bekendgemaakt,Nederlands
Het bord zei dat er wegwerkzaamheden waren dus besloot hij om sneller te rijden,Nederlands
Het door haaien geteisterde South Pine-kanaal was de enige manier in of uit,Nederlands
Hij besloot dat waterskiën op een bevroren meer geen goed idee was,Nederlands
Het was altijd gevaarlijk om met hem te rijden aangezien hij volhield dat de veiligheidsconen een slalomcircuit waren,Nederlands
Ze was het type meisje dat in een roze huis wilde wonen,Nederlands
Haar leven binnen de grenzen van het huis werd haar nieuwe normaal,Nederlands
De bijna-doodervaring bracht nieuwe ideeën aan het licht,Nederlands
Ze waren opgewonden om hun eerste luiaard te zien,Nederlands
Het wake achter de boot vertelde over het verleden terwijl de open zee het leven in de onbekende toekomst voorspelde,Nederlands
Ook al dacht hij dat de wereld plat was zag hij de ironie niet in van de wens om rond de wereld te reizen,Nederlands
Hij vroeg zich af of het een strand genoemd kon worden als er geen zand was,Nederlands
Wijsheid wordt gemakkelijk verworven wanneer je je verbergt onder het bed met een kookpan op je hoofd,Nederlands
Iedereen zou Chaucer moeten lezen om hun dagelijkse vocabulaire te verbeteren,Nederlands
Hij is geen James Bond; zijn naam is Roger Moore,Nederlands
Ik houd ervan om na mijn acht-uur durende theepauze van mijn werk te vertrekken,Nederlands
Opstaan bij zonsopgang is voor de vogels,Nederlands
Als het eten van omeletten met drie eieren gewichtstoename veroorzaakt zijn budgie-eieren een goed alternatief,Nederlands
Shakespeare was een beroemde dieselmonteur uit de 17e eeuw,Nederlands
Sla me met je huisdierhaai,Nederlands
De Japanse yen voor handel is nog steeds goed bekend,Nederlands
De guineafowl vliegt door de lucht met alle gratie van een schildpad,Nederlands
Fluffy roze eenhoorns zijn een populair statussymbool onder macho mannen,Nederlands
Ze huilde diamanten,Nederlands
Dan maakte de diepe duik in het konijnenhol,Nederlands
Erin creëerde per ongeluk een nieuw universum,Nederlands
De deur knalde op de watermeloen,Nederlands
Het werd aanbevolen om eieren op donderdag te eten voor koorrepetitie,Nederlands
Roze paarden galoppeerden over de zee,Nederlands
Vliegende vissen vlogen langs het ruimtestation,Nederlands
Hij kleurde de diepe ruimte een zachte gele kleur,Nederlands
Dan at de wolken als suikerspin,Nederlands
Hij vond een leprechaun in zijn walnootschaal,Nederlands
Bill rende van de giraffe naar de dolfijn,Nederlands
Het maakte geen zin tenzij je de kracht had om kleuren te eten,Nederlands
Patricia houdt van het geluid van nagels die stevig tegen het schoolbord worden gedrukt,Nederlands
Hij begreep niet waarom de vogel de fiets wilde rijden,Nederlands
Knoflookijs was haar favoriet,Nederlands
Smokey de Beer startte stiekem de branden,Nederlands
Pat bestelde een ghost pepper-taart,Nederlands
Je hebt elke reden om boos te zijn maar dat geeft je niet het recht om gemeen te zijn,Nederlands
Andy hield ervan om te slapen op een bed van spijkers,Nederlands
Haar dagelijkse doel was om beter te worden dan gisteren,Nederlands
Ze had de gewoonte om te douchen in limonade,Nederlands
De olifant wilde niet praten over de persoon in de kamer,Nederlands
Het skelet had skelet-skeletten in de kast,Nederlands
Zelfs met de sneeuw die buiten viel vond ze het gepast om haar bikini te dragen,Nederlands
Hij was er zeker van dat de Duivel rode glinsterende glitter had gemaakt,Nederlands
Hij droeg het chirurgische masker in het openbaar niet om een virus te voorkomen maar om mensen op afstand te houden,Nederlands
Doris genoot ervan om met haar nagels op de tafel te tikken om iedereen te ergeren,Nederlands
Niemand vraagt zich af wie de piramides in Mexico heeft gebouwd,Nederlands
Hij dacht dat een paar stokken dynamiet gemakkelijker waren dan een vislijn om vis te vangen,Nederlands
Wanneer het geld krap was haalde hij zijn lunchgeld uit de lokale wensput,Nederlands
De vader overleed tijdens de bevalling,Nederlands
De plannen voor dit weekend omvatten het omzetten van wijn in water,Nederlands
Iguana's vielen uit de bomen,Nederlands
Ik bedekte mijn vriend met babyolie,Nederlands
Kunst hoeft niet opzettelijk te zijn,Nederlands
Nu moet ik mijn bestaan overdenken en mezelf afvragen of ik echt besta,Nederlands
We moeten met Legos spelen op kamp,Nederlands
Ik ben een levende oven,Nederlands
Zeg me alsjeblieft dat je niet in een mortuarium werkt,Nederlands
We hebben jonge kinderen die vaak 's nachts onze kamer binnenkomen om verschillende redenen waaronder clowns in de kast,Nederlands
8% van 25 is hetzelfde als 25% van 8 en een van hen is veel gemakkelijker in je hoofd te doen,Nederlands
Je bijt omhoog vanwege je onderkaak,Nederlands
De meeste haaienaanvallen komen ongeveer 10 meter van het strand omdat daar de mensen zijn,Nederlands
Ik werk op een zoete aardappelboerderij,Nederlands
David volgt de strategie "stop je tent in de tas" in plaats van het netjes op te vouwen,Nederlands
Hij investeerde wat vaardigheidspunten in Charisma en Kracht,Nederlands
Ik ben een geweldige luisteraar echt goed in empathie versus sympathie en dat alles maar ik haat mensen,Nederlands
Hij was goed in het vriendelijk ontslaan van mensen,Nederlands
Wanneer ik spaghetti kook vind ik het leuk om het een paar minuten langer dan al dente te koken zodat de noedels superglad zijn,Nederlands
Joyce genoot ervan om pannenkoeken met ketchup te eten,Nederlands
Ze was verdrietig om te horen dat vuurvliegjes met uitsterven worden bedreigd door kunstmatig licht verlies van hun habitat en pesticiden,Nederlands
Hij besloot dat de tijd was gekomen om sterker te zijn dan alle excuses die hij tot dan toe had gebruikt,Nederlands
De deur zwaaide open en onthulde roze giraffen en rode olifanten,Nederlands
Ze reisde omdat het evenveel kostte als therapie en veel aangenamer was,Nederlands
De verfkwast was boos over de kleur die de kunstenaar had gekozen,Nederlands
De bijen besloten om in opstand te komen tegen hun koningin,Nederlands
Zijn ultieme droomfantasie bestond uit tevreden zijn en acht uur achter elkaar slapen,Nederlands
Ze keek in de spiegel en zag een ander persoon,Nederlands
Er zijn niet genoeg handdoeken ter wereld om de afvalwaterstroom uit zijn mond te stoppen,Nederlands
Hij had een vaag gevoel dat bomen dinosaurussen voortbrachten,Nederlands
De pop draaide in cirkels in de hoop tot leven te komen,Nederlands
Druivengelei lekte uit het gat in het dak,Nederlands
Chocolade bedekte krekels waren zijn favoriete snack,Nederlands
De geheime code die ze creëerden maakte geen enkele zin zelfs niet voor hen,Nederlands
Drie jaar later zat de doodskist nog steeds vol met Jello,Nederlands
Zijn verstand was geblazen dat er niets in de ruimte was behalve de ruimte zelf,Nederlands
Ze spelen piano terwijl ze in het vliegtuig vliegen,Nederlands
De handgel was in werkelijkheid heldere lijm,Nederlands
De songteksten klonken als nagels op een schoolbord,Nederlands
Het duurde een maand om de maaltijd te beëindigen,Nederlands
Zoek succes maar wees altijd voorbereid op willekeurige katten,Nederlands
Geen haar hebben maakte hem nog hariger,Nederlands
Hij goot stenen in de kerker van zijn geest,Nederlands
De blauwe papegaai reed langs de lifthavende mongoose,Nederlands
Geluk kan worden gevonden in de diepten van chocoladepudding,Nederlands
Er zijn geen helden in een punkrockband,Nederlands
Hij scheerde de perzik om een punt te maken,Nederlands
Pinda’s groeien niet aan bomen maar cashewnoten doen dat,Nederlands
Het is moeilijk te begrijpen welke inspanningen hij zou doen om klein te blijven,Nederlands
Hij creëerde een varkensburger van rundvlees,Nederlands
Zijn denkproces was op zoveel niveaus dat hij zichzelf een hoogtevrees bezorgde,Nederlands
Hij vond het leuk om met woorden in de badkuip te spelen,Nederlands
Er waren drie bolvormige stenen die zich verzamelden in een kubusvormige kamer,Nederlands
Het was niet te zeggen welke gedachten uit de machine zouden komen,Nederlands
Hij zette warmte op de wond om te zien wat er zou groeien,Nederlands
Ze gebruikte haar eigen haar in de soep om het meer smaak te geven,Nederlands
Soms moet je gewoon opgeven en winnen door te bedriegen,Nederlands
Het speelgoed bracht warme herinneringen terug aan verdwalen in het regenwoud,Nederlands
Ze kon niet beslissen of het glas half leeg of half vol was dus dronk ze het op,Nederlands
Hij was niet bitter omdat ze verder was gegaan maar vanwege de radijs,Nederlands
Hij had besloten zijn lot van het accepteren van zijn lot te accepteren,Nederlands
De wolken vormden prachtige dieren in de lucht die uiteindelijk een tornado creëerden om chaos te veroorzaken,Nederlands
De wervelende lolly had problemen met de poprock-snoepjes,Nederlands
Hij raapte afval op in zijn vrije tijd om het in de tuin van zijn buurman te dumpen,Nederlands
De vis droomde ervan om de viskom te ontsnappen en in het toilet te belanden waar hij zijn vriend had gezien,Nederlands
Het was een echt goede maandag voor een zaterdag,Nederlands
Groeten uit het sterrenstelsel MACS0647-JD of wat wij thuis noemen,Nederlands
Hij was verbaasd dat zijn immense luiheid inspirerend was voor anderen,Nederlands
Hij had onbewust slaapwandelen als nachtelijk tijdverdrijf aangenomen,Nederlands
Hij spikes zijn haar groen om zijn leguaan te ondersteunen,Nederlands
De vijftig mannequins die in het zwembad drijft gaf hen een beetje de kriebels,Nederlands
Hoewel het geen pot goud was was Nancy nog steeds gefascineerd door wat ze aan het einde van de regenboog had gevonden,Nederlands
Na het afschudden van de krokodil moest Brian nog steeds de anaconda onder ogen zien,Nederlands
Het duurde niet lang voor Gary te detecteren dat de dieven amateurs waren,Nederlands
Hij omarmde zijn nieuwe leven als aubergine,Nederlands
Karen realiseerde zich dat de enige manier waarop ze in de hemel zou komen was door te bedriegen,Nederlands
Hij hield ervan om zijn bananen in hotdogbroodjes te eten,Nederlands
Dertig jaar later vond ze het nog steeds oké om de toiletrol onder in plaats van boven te plaatsen,Nederlands
In het aangezicht van zijn grootste angst at hij zijn eerste marshmallow,Nederlands
Hij ontdekte dat zijn kunst nooit vorderde als hij letterlijk zijn zweet en tranen gebruikte,Nederlands
Nancy was trots dat ze een strak schipwrak leidde,Nederlands
Het kostte hem een tijdje om te beseffen dat alles wat hij besloot niet te veranderen hij eigenlijk koos,Nederlands
Het was moeilijk voor Mary om toe te geven dat het grootste deel van haar training bestond uit het oefenen van slecht oordeel,Nederlands
Jason leefde zijn leven volgens de motto "Alles wat de moeite waard is is de moeite waard om slecht te doen",Nederlands
David slaagde er trots in om op 97-jarige leeftijd als eerste van zijn klas af te studeren,Nederlands
De moordhornet was teleurgesteld over de vooropgestelde ideeën die mensen over hem hadden,Nederlands
De twee liepen door de spleetkloof onwetend van het onweer in de verte,Nederlands
Ze was verbaasd over de grote ijsschotsen die op het strand aanspoelden,Nederlands
Gary begreep niet waarom Doug naar boven ging om dollarbiljetten te halen toen hij hem had uitgenodigd om koeien om te duwen,Nederlands
Het strand was vol met sneeuwluipaarden,Nederlands
Toen de asteroïde op aarde afkwam was Becky boos dat haar tandartsafspraak was geannuleerd,Nederlands
Ze keek naar het meesterwerk dat in het museum hing maar het enige waar ze aan kon denken was dat haar vijfjarige het beter zou kunnen,Nederlands
De white-water rafting trip werd plotseling stopgezet door de onverwachte bakstenen muur,Nederlands
Ze had altijd een interessante kijk op waarom de wereld plat moest zijn,Nederlands
De plotselinge regenbui spoelde krokodillen de oceaan in,Nederlands
Harrold voelde zich zeker dat niemand ooit zijn spionduif zou verdenken,Nederlands
